modo_medida,filtro,tipo_de_seqs,tipo_de_plataformas,tipo_de_modos,comparacion,r_cuadrado
counts,0,isoseq,isocall,raw,B20K80,0.7383 
counts,0,isoseq,isocall,raw,B80K20,0.6805 
counts,0,isoseq,isocall,qc,B20K80,0.7383 
counts,0,isoseq,isocall,qc,B80K20,0.6805 
counts,0,isoseq,isocall,rq,B20K80,0.7721 
counts,0,isoseq,isocall,rq,B80K20,0.7342 
counts,0,isoseq,isocall,fl,B20K80,0.7383 
counts,0,isoseq,isocall,fl,B80K20,0.6805 
counts,0,isoseq,isoseq,fl,B20K80,0.1261 
counts,0,isoseq,isoseq,fl,B80K20,0.0994 
counts,0,isoseq,isoseq,rq,B20K80,0.1334 
counts,0,isoseq,isoseq,rq,B80K20,0.1065 
counts,0,isoseq,isoseq,qc,B20K80,0.1261 
counts,0,isoseq,isoseq,qc,B80K20,0.0994 
counts,0,isoseq,bambu,raw,B20K80,0.7686 
counts,0,isoseq,bambu,raw,B80K20,0.7541 
counts,0,isoseq,bambu,qc,B20K80,0.7913 
counts,0,isoseq,bambu,qc,B80K20,0.7763 
counts,0,isoseq,isoseq,raw,B20K80,0.1261 
counts,0,isoseq,isoseq,raw,B80K20,0.0994 
counts,0,isoseq,bambu,fl,B20K80,0.7913 
counts,0,isoseq,bambu,fl,B80K20,0.7763 
counts,0,isoseq,bambu,rq,B20K80,0.8007 
counts,0,isoseq,bambu,rq,B80K20,0.7872 
counts,0,isoseq,flair,raw,B20K80,0.4346 
counts,0,isoseq,flair,raw,B80K20,0.3567 
counts,0,isoseq,flair,fl,B20K80,0.4346 
counts,0,isoseq,flair,fl,B80K20,0.3567 
counts,0,isoseq,isoquant,qc,B20K80,0.5409 
counts,0,isoseq,isoquant,qc,B80K20,0.5136 
counts,0,isoseq,flair,qc,B20K80,0.4346 
counts,0,isoseq,flair,qc,B80K20,0.3567 
counts,0,isoseq,isoquant,raw,B20K80,0.5409 
counts,0,isoseq,isoquant,raw,B80K20,0.5136 
counts,0,isoseq,isoquant,rq,B20K80,0.5913 
counts,0,isoseq,isoquant,rq,B80K20,0.5688 
counts,0,isoseq,flair,rq,B20K80,0.5494 
counts,0,isoseq,flair,rq,B80K20,0.5059 
counts,0,isoseq,isoquant,fl,B20K80,0.5409 
counts,0,isoseq,isoquant,fl,B80K20,0.5136 
counts,0,masseq,isoseq,qc,B20K80,0.0395 
counts,0,masseq,isocall,raw,B20K80,0.7618 
counts,0,masseq,isocall,qc,B20K80,0.7618 
counts,0,masseq,isocall,rq,B20K80,0.8047 
counts,0,masseq,isoseq,rq,B20K80,0.046 
counts,0,masseq,isoseq,raw,B20K80,0.0395 
counts,0,masseq,isocall,fl,B20K80,0.7618 
counts,0,masseq,bambu,raw,B20K80,0.7459 
counts,0,masseq,isoseq,fl,B20K80,0.0395 
counts,0,masseq,bambu,qc,B20K80,0.7664 
counts,0,masseq,bambu,fl,B20K80,0.7664 
counts,0,masseq,bambu,rq,B20K80,0.7824 
counts,0,masseq,isoquant,raw,B20K80,0.4595 
counts,0,masseq,flair,rq,B20K80,0.4834 
counts,0,masseq,isoquant,rq,B20K80,0.5545 
counts,0,masseq,isoquant,qc,B20K80,0.4595 
counts,0,masseq,isoquant,fl,B20K80,0.4595 
counts,0,masseq,flair,qc,B20K80,0.2713 
counts,0,masseq,flair,raw,B20K80,0.2713 
counts,0,masseq,flair,fl,B20K80,0.2713 
counts,0,ont,bambu,raw,B20K80,0.7298 
counts,0,ont,bambu,raw,B80K20,0.6955 
counts,0,ont,flair,raw,B20K80,0.2723 
counts,0,ont,flair,raw,B80K20,0.2207 
counts,0,ont,flair,qc,B20K80,0.2723 
counts,0,ont,flair,qc,B80K20,0.2207 
counts,0,ont,bambu,fl,B20K80,0.7453 
counts,0,ont,bambu,fl,B80K20,0.7289 
counts,0,ont,bambu,qc,B20K80,0.7453 
counts,0,ont,bambu,qc,B80K20,0.7289 
counts,0,ont,bambu,rq,B20K80,0.7496 
counts,0,ont,bambu,rq,B80K20,0.7354 
counts,0,ont,flair,fl,B20K80,0.2723 
counts,0,ont,flair,fl,B80K20,0.2207 
counts,0,ont,isoquant,raw,B20K80,0.4557 
counts,0,ont,isoquant,raw,B80K20,0.3835 
counts,0,ont,flair,rq,B20K80,0.3138 
counts,0,ont,flair,rq,B80K20,0.2681 
counts,0,ont,isoquant,qc,B20K80,0.4557 
counts,0,ont,isoquant,qc,B80K20,0.3835 
counts,0,ont,isoquant,fl,B20K80,0.4557 
counts,0,ont,isoquant,fl,B80K20,0.3835 
counts,0,ont,isoquant,rq,B20K80,0.4737 
counts,0,ont,isoquant,rq,B80K20,0.4072 
counts,1,isoseq,isocall,qc,B20K80,0.805 
counts,1,isoseq,isocall,qc,B80K20,0.7961 
counts,1,isoseq,isoseq,raw,B20K80,0.3257 
counts,1,isoseq,isoseq,raw,B80K20,0.3254 
counts,1,isoseq,isocall,rq,B20K80,0.8046 
counts,1,isoseq,isocall,rq,B80K20,0.7954 
counts,1,isoseq,isocall,raw,B20K80,0.805 
counts,1,isoseq,isocall,raw,B80K20,0.7961 
counts,1,isoseq,isocall,fl,B20K80,0.805 
counts,1,isoseq,isocall,fl,B80K20,0.7961 
counts,1,isoseq,isoseq,rq,B20K80,0.3269 
counts,1,isoseq,isoseq,rq,B80K20,0.3261 
counts,1,isoseq,isoseq,qc,B20K80,0.3257 
counts,1,isoseq,isoseq,qc,B80K20,0.3254 
counts,1,isoseq,isoseq,fl,B20K80,0.3257 
counts,1,isoseq,isoseq,fl,B80K20,0.3254 
counts,1,isoseq,bambu,qc,B20K80,0.8131 
counts,1,isoseq,bambu,qc,B80K20,0.813 
counts,1,isoseq,bambu,raw,B20K80,0.8086 
